id,glosa
66,llevar a cabo directamente los procesos sistemáticos de enseñanza y educación lo que incluye eldiagnóstico planificación ejecución y evaluación de los mismos procesos y de las actividades educativasgenerales y complementarias que tienen lugar en las unidades educacionales de nivel parvulario b
67,seguridad tienda
68,reponer alarmar y etiquetar la mercadería empacar la mercadería luego de la venta velar por el correcto aseo y limpieza de la tienda ordenar cambiar productos al cliente en alguna de las secciones que se le señale en el local ya individualizado o alguno que actualmente posee el empleador
69,cubrir locales de la zona asignada y ejecutar la recepción reposición distribución y organización de la mercadería en la tienda bodega y vitrina minimizando las pérdidas y mermas de productos según políticas vigentes ademas de venta de productos de belleza y cuidado personal
70,encargada de la contabilidad de la empresa y labores administrativas de recursos humanos
71,barredor de calles
72,atencion clientesreponer mercaderia
73,realizar la implementación de programas de gestión social y de voluntariado participando en iniciativas locales junto a redes comunitarias gestionando la participación de voluntarios permanentemente y apoyando en calidad de referente a fundación teletón para aportar a la fidelización de los volu
74,el cargo para el cual se contrata al trabajador tiene como objetivo en todo momento serresponsable de la administración rentabilización integral de los recursos productivos y delmodelo de negocio que la empresa le asigne en el formato de farmacia
75,apoyo auxiliar aseo
76,escargada de la limpeza de piezas baños sala de estar del hotel
77,mecanico soldador
78,jefe zonal
79,vendedora  empaque de tiendas
80,las propias de la naturaleza de su cargo
81,gestionar la demanda para el mantenimiento de equipos identificando y asignando recursos componentes repuestos herramientas y mantenedores de acuerdo con el plan de mantenimiento fechas comprometidas y procedimientos de trabajo gestionar repuestos y componentes para mantener equipos de acuerd
82,montaje de escalerillas cañerías de acero materiales y ferretería eléctrica etc
83,encargado realizar labores en terreno
84,recepcionista
85,todas las funciones y servicios de pastelería
86,mercaderista para empresas demaria sa
87,fiscalizar que en la totalidad de las instalaciones bajo su responsabilidad de inspección yo supervisión se desarrollenlas labores de portería con un adecuado control de acceso de las personas vehículos y elementosaplicar medidas de seguridad en las instalaciones basado en el manual de
88,encargado produccion
89,función a desarrollar velar por el orden y disciplina de las y los estudiantes realizar turnos de supervisión en pasillos patios servicios higiénicos llevar al día libros de justificación de atrasos en el ingreso al colegio y retiros de estudiantes en horarios de clases
90,el cargo contratado comprende las funciones de preparación y mantención de alimentos atención recepción y servicio de pedidos del público atención de caja y limpieza del establecimiento de restaurante conforme a las normas y reglamentos de la empresa
91,todas la labores relacionadas con la explotación agrícola y frutícola
92,el auxiliar de servicios ejecuta tareas generales de aseo y desinfección  al mismo tiempo si desarrolla tareas especificas en el área de aseo deberá   ejecutar tareas generales de aseo en las diferentes instalaciones del recinto donde se presta servicio manteniendo sus dependencias y equipos limpi
93,apoyar las tareas básicas de perforación de forma segura a través de la adquisición de competencias técnicas durante su entrenamiento contribuyendo a la continuidad operacional del proceso de perforación
94,steward
95,tecnologo en alimentos
96,albañil
97,ofrece consejos productos nuevos la negociación de contratos la organización de visitas profesionales
98,chofer
99,conserje papudo laguna
100,mantener la información virtual y física respecto de los temas de bodega actualizada permitiendo la continuidad en los procesos
101,jefe de negocios
102,reponer promover y dar a conocer los productos que le fueron asignados mantener y ajustar stocktomar pedidos revisión y mantención de precios de los productosinformar los productos que se encuentren deteriorados manchados con problemas de presentación
103,m1 oocc
104,el cargo contratado comprende las funciones de preparación y mantención de alimentos atención recepción y servicio de pedidos del público atención de caja y limpieza del establecimiento de restaurante conforme a las normas y reglamentos de la empresa
105,de acuerdo a descripcion del cargo registrado en el riohs
106,atencion al cliente en caja reposicion de productos en gondolas exhibidoras y aquellos que le encomiende su empleador o supervisor
107,el auxiliar de servicios ejecuta tareas generales de aseo y desinfección  al mismo tiempo si desarrolla tareas especificas en el área de aseo deberá   ejecutar tareas generales de aseo en las diferentes instalaciones del recinto donde se presta servicio manteniendo sus dependencias y equipos limpi
108,persona encargada de controlar de que el presupuesto gastos de traslados de fruta granel y requerimientos básicos del personal e insumos de recepción se cumpla de contratar personal para distintas faenas o especies controlar la entrega de epp y ropa de trabajo ser responsable de la seguridad e h
109,el trabajador se compromete a desempeñar la función de mercaderistajornada parcial que comprende entre otras las siguientes tareasprincipalesreponer los productos de las marcas san jorge zwan jk lp wernerf las demás funciones se encuentran debidamente pactadas en el contrato de trabajo
110,desarrollar todas las funciones asignadas cumpliendo con las leyes vigentes políticas procedimientos estándares e instrucciones operacionales definidas por la empresa asociadas al cargo entre otras funciones propias de su cargo
111,funciones en perfil de cargo y contrato
112,reproducción de especies apoyo en mantenimiento de áreas comunes y senderos apoyo en producción de compostera limpieza barrido y riego de las áreas de esparcimiento del parque labores de mantenimiento de senderos y áreas verdes en sector centro de eventos quebrada verde fonasa
113,verificar disponibilidad de las máquinas que estén operativas y en buen funcionamiento en el caso que presente alguna falla debe reportar a su supervisor derivar atención a modulo web autoservicio o ejecutivos de servicio si corresponde  asistir al afiliado que requiera apoyo con el uso de la
114,evaluar los problemas y ofrecer soluciones sustentables que ofrezcan un mejor aprovechamiento de los recursos naturales
115,seguimiento de procedimientos establecidos en el área para llegar a resultados confiablesseguimiento y cumplimiento de los estándares operacionales de calidad seguridad y protección almedio ambiente
116,apoyar el servicio ontegral de alimentación
117,gerente general
118,mantener el orden en su área de trabajo y aseo en las distintas áreas de ensacado cooperar en las labores básicas de operación de las máquinas de ensacado además cumplir con los estándares de calidad seguridad y medio ambiente aplicables para cada labor
119,diseñadora grafica
120,visitar los sitios de telefonía celular y centrales de conmutación de  acuerdo a requerimientos de área comercial y operacioneselaborar documentos de ingeniería de detalles cursos manuales protocolos de prueba e informes técnicossoporte técnico de emergencia en forma remota o presencia
121,realizar cotizaciones de materiales de merchandising para sucursales controlar y gestionar la reposición de merchandising en sucursales preparar informes de gestión con resultados de ventas aportadas por el canal web editar videos comunicacionales para redes sociales entre otras
122,mantenerse conectado a la plataforma digital de la empresa y atender adecuadamente los llamados y requerimientos de los clientes yo usuariosdetalles y especificaciones en contrato de trabajo firmado por las partes
123,la profesora desempeñara sus funciones en la asignatura agropecuaria
124,engineer mine planning
125,labores administrativas
126,descripcion del cargo se esncuentra estipulado en el reglamento interno de orden higiene y seguridad
127,puestero y trabajos en general de campo
128,desarrollar estadísticas e informes de gestión como incobrabilidad de cartera clientes cobrabilidad de la cartera total de clientes informes de calidad servicio y gestión de llamados por ejecutivosas
129,de acuerdo al contrato de trabajo este cuenta con 21 obligaciones todo estipulado en dicho documento
130,vendedor
131,el trabajador polifuncional se compromete a ejecutar los posibles trabajos en las siguientes áreas según requerimientos  secretaria caja recepción de mercadería del establecimiento
132,conductor camion
133,asegurar y ejecutar las actividades propias del área orientadas a la instalación domiciliaria de servicios de telecomunicaciones comercializados por la empresa a su mantención y corrección dentro de los plazos establecidos de acuerdo a las políticas definidas por la empresa
134,trabajador de funciones como operario agrícola además de otras laborales agrícolas que estime el empleador en la empresa  de acuerdo a las ordenes e instrucciones contenidas em su contrato de trabajo
135,labores agricolas varias y tractorero
136,recoleccion almacenamiento y carga de documentacion necesaria para lograr la acreditacion de personal y equipos de transportes moneda y las distintas operaciones de la zona nortecontacto directo con clientes internos y externo manejo de plataformas web de carga de datos en las distintas faenas
137,atención promoción y conclusión de venta en la estación de serviciorealizar las labores tendientes a la mantención de la buena presentación de la estación de serviciorealizar las tareas relacionadas con el manejo de efectivobrindar un excelente servicio y atención a los clientes en la  estación
138,obrero agricola
139,atiende publico y realiza labores como vendedor
140,auxiliar de aseo de la facultad de derecho
141,cumplir políticas reglamentos y órdenes impartidos por el empleador respetar los principios y valores propios de un establecimiento educacional católico desarrollar el trabajo con el debido cuidado evitando comprometer la salud integridad y seguridad de su persona trabajadores y alumnos
142,maestro armador y soldador metalmecanico
143,proteger la vida humana control de accesos cumplir ordenes de puesto realizar rondas de seguridad vigilar instalación entre otras
